filename,description
X Acrocanthosaurus skull.jpg,"Acrocanthosaurus was the top predator of the early Cretaceous. This theropod dinosaur weighed 15,000 pounds, measured 38 feet tall, had a 51 inch long skull, and a running speed of 20 mph. Prickly spines ran along the top of its back forming a ridge that gave an armored appearance."
X Ammonite named Kosmoceras.jpg,"Ammonites were abundant in the seas during the Jurassic Period. Ammonites are shelled cephalopods, a class of marine animals that include octopuses, squid, cuttlefishes and nautiluses. Ammonites have retractable tentacles for catching small prey, although some species filter-fed for small plankton."
"X Brontotherium, Teeth.jpg","During the Eocene Epoch, 25 million years ago, parts of North America as far north as Oregon were covered with a sub-tropical forest that was nearly identical to the one found in Central America today. These large Brontotherium teeth only hint at the majestic size of a well preserved, adult skull. "
"X Bryozoans, Brachiopods and Gastropods.jpg","During the Silurian Period, 430 million years ago, equatorial reef systems developed in the seas. The reefs were home to all kinds of invertebrates and among the most plentiful were brachiopods, bryozoans, and gastropods, seen in this specimen in our collection."
X Cambrian Trilobite mortality plate.jpg,"This fossil is an example of what is called a ""mortality plate"" as it contains the remains of several animals that all died around the same time. Trilobites were some of the first animals to evolve an exoskeleton, and as a result fossilize very well compared to other Cambrian creatures."
"X Cave Hyena, Woolly Rhino Bone I.jpg AND X Cave Hyena, Woolly rhino bone inside.jpg","This fossil is a woolly rhinoceros humerus that was found in a cave. It was gnawed on and cracked by a mother cave hyena (an extinct subspecies of modern spotted hyenas), who bit the end of the bone off so that her pups could feed on the marrow within, as evidenced by  scrape marks inside the bone. "
"X Crinoid, smaller morocco.jpg","Millions of years ago during the Silurian period, the Sahara Desert was a shallow sea full of aquatic animals like crinoids. Don’t be fooled! Crinoids are commonly called ""sea lilies"" but they aren't plants! They are echinoderms, like starfish and sea urchins, and many species are still alive today!"
X Devonian Fish Scotland.jpg,"This fossil is of a lobed-finned fish named Osteolepsis macrolepidotus and was found in Scotland. The Devonian Period (named after fossils first found in Devon, England), is known as ""The age of fishes"" and was fish transformed into three major groups: lobe-finned, ray-finned, and sharks."
X Dimetrodon footprint for book A.jpg,"This Dimetrodon footprint was found in a fossilized swamp in New Mexico and dates from the late Carboniferous to early Permian Period, and is 300 million years old. Dimetrodons lived during the Permian period and went extinct 40 million years before dinosaurs evolved."
"X green river, pseudosalix hanleyi.jpg","Abundant Eocene fossils of plants and animals are found in the Green River Formation of Wyoming, Colorado and Utah. This fossil Pseudosalix Hanleyi, with stems, leaves and flowers preserved, is harder to find than a T-rex tooth!"
X Juvenile mammoth tusk.jpg,"Woolly mammoths have two sets of tusks that grow continuously throughout life, about 6 inches per year. They have growth rings that are similar in appearance to growth rings of a tree. The rings can also be used to reveal which month the animal died."
"X Mamoth Hunters, Neanderthal scraper.jpg","Adult Mammoths had one natural enemy–Neanderthals. This Neanderthal scraper in our collection was used for preparing large mammoth hides. The Mousterian style of manufacture reveals it to be 120,000-200,000 years old."
